Datetime,cape,cin,lift,k,total_totals,showalter
2016-06-17 09:00:00,0.0,0.0,-267.7422022516732,10.700000000000005,41.6,4.598215269487389
2016-06-18 09:00:00,0.0,0.0,-266.18229694420774,6.100000000000001,39.2,5.363250540526815
2016-06-19 09:00:00,-23.62320042567761,-238.6086618936889,-272.6505980912727,6.300000000000001,42.2,4.956779272301253
2016-06-20 09:00:00,5.536361131841304,-4.501809323417587,-268.7488977640598,8.299999999999997,37.8,6.844679070659424
2016-06-21 09:00:00,0.2898755667674809,-27.555187064236293,-268.9164331470564,25.5,40.9,5.077988678592465
2016-06-22 09:00:00,0.0507102241424055,-4.509018108608126,-269.27327813643126,24.0,41.3,4.608363128132634
2016-06-23 09:00:00,54.213418787260586,-261.5037939778131,-273.7710530104858,28.3,51.0,-0.7906117732151863
2016-06-24 09:00:00,14.073693438706773,0.0,-271.77350751029485,19.9,48.0,0.9790182812813786
2016-06-25 09:00:00,13.45841404715391,-4.863355903399307,-266.4339735411849,-17.3,33.4,9.48020644939486
2016-06-26 09:00:00,8.530667490761425,-44.10616508322853,-264.9866097916759,-24.8,31.1,10.27552248259193
2016-06-27 09:00:00,9.151296049092378,-98.94229900945258,-266.98660979167585,-25.7,31.200000000000003,11.27951678885987
2016-06-28 09:00:00,46.4019407606761,-4.780512861344133,-270.9262338675538,-17.700000000000003,40.0,4.826946569771724
2016-06-29 09:00:00,29.907003161599366,-106.27850492210273,-271.8074843680584,-8.299999999999997,39.6,5.963419298370047
2016-06-30 09:00:00,0.7773564812115997,-213.09765541408768,-270.5974352155876,-7.899999999999999,42.6,3.8434518358848777
2016-07-01 09:00:00,-147.9149661647984,-66.74789632527619,-272.0211867651516,25.099999999999994,41.8,4.070134029653776
2016-07-02 09:00:00,60.59880833381138,-79.2457475603567,-274.57124229658814,17.1,46.400000000000006,1.3224513058174343
2016-07-03 09:00:00,0.0,0.0,-268.87335966420534,6.899999999999999,34.8,8.593420355330442
2016-07-04 09:00:00,0.0,0.0,-268.9437380051484,4.5,33.2,9.603732821310604
