,Chuva,Dia,DirVento,HBV,Hora,Pressao,Temperatura,Umidade,VelVento,estacao,Geopotential_1000,Humidity_1000,Temperature_1000,WindU_1000,WindV_1000,Geopotential_700,Humidity_700,Temperature_700,WindU_700,WindV_700,Geopotential_200,Humidity_200,Temperature_200,WindU_200,WindV_200,CAPE,CIN,showalter,lift_index,k_index,total_totals,Wx,Wy,Day sin,Day cos,Year sin,Year cos
6058,0.0,2021-12-12,0.0,HBV,00:00:00,0.0,0.0,0.0,0.0,iraja,775.4951,87.711365,298.0905,-0.7633648,1.0294758,30700.273,74.76632,281.38135,8.1698265,-2.1969528,121114.984,99.40587,218.03914,31.517973,24.673225,465.5157459451901,-112.5119333786104,0.0,-274.8002075483864,39.7,48.6,0.0,0.0,-7.311580003144922e-12,1.0,-0.3309842823727712,0.9436362672249206
6059,0.0,2021-12-12,0.0,HBV,01:00:00,0.0,0.0,0.0,0.0,iraja,761.52637,90.21253,297.72284,-0.71141624,0.5689343,30683.414,65.30983,281.77432,7.7562103,-2.0956652,121143.38,98.265045,218.19037,31.593702,22.868914,461.09966107530647,-118.39221891107148,0.0,-274.8081639450961,39.520833333333336,48.46666666666667,0.0,0.0,0.2588190450903603,0.9659258262923267,-0.3303078155567915,0.9438732684964124
6060,0.0,2021-12-12,0.0,HBV,02:00:00,0.0,0.0,0.0,0.0,iraja,707.0957,91.82689,297.65054,-0.3964362,-0.3400154,30630.43,64.241974,281.77557,7.4741096,-2.0956652,121080.88,100.48697,218.28098,31.843609,21.67441,456.6835762054228,-124.27250444353257,0.0,-274.81612034180574,39.34166666666667,48.333333333333336,0.0,0.0,0.4999999999971288,0.8660254037860964,-0.32963117903626776,0.9441097848275697
6061,0.0,2021-12-12,0.0,HBV,03:00:00,0.0,0.0,0.0,0.0,iraja,683.0117,93.17303,297.7865,0.02375555,-0.67183745,30615.016,65.00305,281.74466,7.2847276,-2.295075,121041.74,92.81836,218.36687,32.655426,21.643711,452.26749133553915,-130.15278997599364,0.0,-274.82407673851543,39.1625,48.2,0.0,0.0,0.7071067811804712,0.7071067811926238,-0.32895437315884035,0.9443458160968758
6062,0.0,2021-12-12,0.0,HBV,04:00:00,0.0,0.0,0.0,0.0,iraja,645.9219,93.46807,297.99658,0.6083422,-0.67764044,30585.15,68.46478,281.5327,6.645562,-2.5915518,120997.07,88.29833,218.48341,34.759182,21.271126,447.85140646565554,-136.03307550845474,0.0,-274.83203313522506,38.983333333333334,48.06666666666667,0.0,0.0,0.8660254037847791,0.4999999999994104,-0.3282773982722365,0.9445813621830633
6063,0.0,2021-12-12,0.0,HBV,05:00:00,0.0,0.0,0.0,0.0,iraja,616.53906,92.95677,298.12018,0.7753668,-0.543118,30556.25,73.453705,281.2003,5.8847446,-2.6949496,120962.97,102.63475,218.50914,35.501328,20.31664,443.43532159577194,-141.91336104091582,0.0,-274.83998953193475,38.80416666666667,47.93333333333334,0.0,0.0,0.9659258262878785,0.2588190451069612,-0.3276002547242703,0.944816422965114
6064,0.0,2021-12-12,0.0,HBV,06:00:00,0.0,0.0,0.0,0.0,iraja,609.3135,92.37507,298.30182,0.59453297,-0.78895116,30545.17,74.81828,281.09894,5.6282897,-2.9624119,120984.23,120.09709,218.58676,35.499813,19.805906,439.0192367258883,-147.79364657337692,0.0,-274.84794592864444,38.625,47.800000000000004,0.0,0.0,1.0,9.874924154739441e-12,-0.32692294286284246,0.9450509983222591
6065,0.2,2021-12-12,0.0,HBV,07:00:00,0.0,0.0,0.0,0.0,iraja,636.76953,91.302185,298.4909,0.46630526,-0.8580588,30568.773,74.679146,281.09464,5.922227,-2.5625372,121036.93,105.41473,218.76112,34.645588,19.119347,434.6031518560046,-153.673932105838,0.0,-274.85590232535407,38.44583333333334,47.66666666666667,0.0,0.0,0.9659258262892239,-0.25881904510194037,-0.3262454630359403,0.9452850881339793
6066,0.0,2021-12-12,0.0,HBV,08:00:00,0.0,0.0,0.0,0.0,iraja,687.3467,89.74315,298.57495,0.15329838,-0.90237206,30634.281,73.718575,281.1391,6.2917852,-2.3219795,121087.586,104.95346,218.88287,33.851944,17.845304,430.187066986121,-159.55421763829906,0.0,-274.86385872206375,38.26666666666667,47.53333333333334,0.0,0.0,0.866025403787378,-0.49999999999490885,-0.32556781559158354,0.9455186922800229
6067,0.0,2021-12-12,0.0,HBV,09:00:00,0.0,0.0,0.0,0.0,iraja,707.0957,88.03491,298.61636,-0.08540201,-0.8438152,30682.45,71.90808,281.31647,6.2063003,-2.370513,121124.17,108.237946,218.91449,32.6736,16.151232,425.7709821162374,-165.43450317076017,0.0,-274.8718151187734,38.087500000000006,47.400000000000006,0.0,0.0,0.7071067811944365,-0.7071067811786587,-0.3248900008780393,0.9457518106403326
6068,0.0,2021-12-12,0.0,HBV,10:00:00,0.0,0.0,0.0,0.0,iraja,735.5156,84.113846,298.89133,-0.1505022,-1.1091673,30736.398,80.45262,281.54013,5.3060765,-2.8368576,121217.12,107.18361,218.8003,30.668293,16.328453,421.35489724635374,-171.31478870322124,0.0,-274.87977151548307,37.90833333333334,47.26666666666667,0.0,0.0,0.5000000000016304,-0.8660254037834973,-0.32421201924349946,0.9459844430951562
6069,0.0,2021-12-12,0.0,HBV,11:00:00,0.0,0.0,0.0,0.0,iraja,767.7881,71.126884,300.35025,-0.1458993,-1.6277381,30787.457,81.68811,281.6279,5.1127486,-2.4807687,121310.51,108.42327,218.93526,30.24118,15.026501,416.9388123764701,-177.19507423568234,0.0,-274.8877279121927,37.72916666666667,47.13333333333334,0.0,0.0,0.2588190451094372,-0.965925826287215,-0.32353387103629533,0.9462165895249722
