,Dia,Hora,HBV,Chuva,DirVento,VelVento,Temperatura,Pressao,Umidade,estacao
98,2014-12-05,02:00:00,HBV,0.0,,,,,,iraja
99,2014-12-05,03:00:00,HBV,0.0,,,,,,iraja
100,2014-12-05,04:00:00,HBV,0.0,,,,,,iraja
101,2014-12-05,05:00:00,HBV,0.2,,,,,,iraja
102,2014-12-05,06:00:00,HBV,0.6,,,,,,iraja
103,2014-12-05,07:00:00,HBV,6.0,,,,,,iraja
104,2014-12-05,08:00:00,HBV,4.4,,,,,,iraja
105,2014-12-05,09:00:00,HBV,4.6,,,,,,iraja
106,2014-12-05,10:00:00,HBV,0.0,,,,,,iraja
107,2014-12-05,11:00:00,HBV,0.0,,,,,,iraja
108,2014-12-05,12:00:00,HBV,0.0,,,,,,iraja
109,2014-12-05,13:00:00,HBV,0.0,,,,,,iraja
110,2014-12-05,14:00:00,HBV,0.0,,,,,,iraja
111,2014-12-05,15:00:00,HBV,0.0,,,,,,iraja
112,2014-12-05,16:00:00,HBV,0.0,,,,,,iraja
113,2014-12-05,17:00:00,HBV,0.0,,,,,,iraja
114,2014-12-05,18:00:00,HBV,0.0,,,,,,iraja
115,2014-12-05,19:00:00,HBV,0.0,,,,,,iraja
116,2014-12-05,20:00:00,HBV,0.0,,,,,,iraja
117,2014-12-05,21:00:00,HBV,0.0,,,,,,iraja
118,2014-12-05,22:00:00,HBV,0.0,,,,,,iraja
119,2014-12-05,23:00:00,HBV,0.0,,,,,,iraja
120,2014-12-06,00:00:00,HBV,0.0,,,,,,iraja
121,2014-12-06,01:00:00,HBV,0.0,,,,,,iraja
122,2014-12-06,02:00:00,HBV,0.0,,,,,,iraja
123,2014-12-06,03:00:00,HBV,0.0,,,,,,iraja
124,2014-12-06,04:00:00,HBV,0.0,,,,,,iraja
125,2014-12-06,05:00:00,HBV,0.0,,,,,,iraja
126,2014-12-06,06:00:00,HBV,0.0,,,,,,iraja
127,2014-12-06,07:00:00,HBV,0.0,,,,,,iraja
128,2014-12-06,08:00:00,HBV,0.0,,,,,,iraja
129,2014-12-06,09:00:00,HBV,0.0,,,,,,iraja
130,2014-12-06,10:00:00,HBV,0.0,,,,,,iraja
131,2014-12-06,11:00:00,HBV,0.0,,,,,,iraja
132,2014-12-06,12:00:00,HBV,0.0,,,,,,iraja
133,2014-12-06,13:00:00,HBV,0.0,,,,,,iraja
134,2014-12-06,14:00:00,HBV,0.0,,,,,,iraja
135,2014-12-06,15:00:00,HBV,0.0,,,,,,iraja
136,2014-12-06,16:00:00,HBV,0.0,,,,,,iraja
137,2014-12-06,17:00:00,HBV,0.0,,,,,,iraja
138,2014-12-06,18:00:00,HBV,0.0,,,,,,iraja
139,2014-12-06,19:00:00,HBV,0.0,,,,,,iraja
140,2014-12-06,20:00:00,HBV,0.0,,,,,,iraja
141,2014-12-06,21:00:00,HBV,0.0,,,,,,iraja
142,2014-12-06,22:00:00,HBV,0.0,,,,,,iraja
143,2014-12-06,23:00:00,HBV,0.0,,,,,,iraja
144,2014-12-07,00:00:00,HBV,0.0,,,,,,iraja
145,2014-12-07,01:00:00,HBV,0.0,,,,,,iraja
146,2014-12-07,02:00:00,HBV,0.0,,,,,,iraja
147,2014-12-07,03:00:00,HBV,0.0,,,,,,iraja
148,2014-12-07,04:00:00,HBV,0.0,,,,,,iraja
149,2014-12-07,05:00:00,HBV,0.0,,,,,,iraja
150,2014-12-07,06:00:00,HBV,0.0,,,,,,iraja
151,2014-12-07,07:00:00,HBV,0.0,,,,,,iraja
152,2014-12-07,08:00:00,HBV,0.0,,,,,,iraja
153,2014-12-07,09:00:00,HBV,0.0,,,,,,iraja
154,2014-12-07,10:00:00,HBV,0.0,,,,,,iraja
155,2014-12-07,11:00:00,HBV,0.0,,,,,,iraja
156,2014-12-07,12:00:00,HBV,0.0,,,,,,iraja
157,2014-12-07,13:00:00,HBV,0.0,,,,,,iraja
158,2014-12-07,14:00:00,HBV,0.0,,,,,,iraja
159,2014-12-07,15:00:00,HBV,0.0,,,,,,iraja
160,2014-12-07,16:00:00,HBV,0.0,,,,,,iraja
161,2014-12-07,17:00:00,HBV,0.0,,,,,,iraja
162,2014-12-07,18:00:00,HBV,0.0,,,,,,iraja
163,2014-12-07,19:00:00,HBV,0.0,,,,,,iraja
164,2014-12-07,20:00:00,HBV,0.0,,,,,,iraja
165,2014-12-07,21:00:00,HBV,0.0,,,,,,iraja
166,2014-12-07,22:00:00,HBV,0.0,,,,,,iraja
167,2014-12-07,23:00:00,HBV,0.0,,,,,,iraja
168,2014-12-08,00:00:00,HBV,0.0,,,,,,iraja
169,2014-12-08,01:00:00,HBV,0.0,,,,,,iraja
170,2014-12-08,02:00:00,HBV,0.0,,,,,,iraja
171,2014-12-08,03:00:00,HBV,0.0,,,,,,iraja
172,2014-12-08,04:00:00,HBV,0.0,,,,,,iraja
173,2014-12-08,05:00:00,HBV,0.0,,,,,,iraja
174,2014-12-08,06:00:00,HBV,0.0,,,,,,iraja
175,2014-12-08,07:00:00,HBV,0.0,,,,,,iraja
176,2014-12-08,08:00:00,HBV,0.0,,,,,,iraja
177,2014-12-08,09:00:00,HBV,0.0,,,,,,iraja
178,2014-12-08,10:00:00,HBV,0.0,,,,,,iraja
179,2014-12-08,11:00:00,HBV,0.0,,,,,,iraja
180,2014-12-08,12:00:00,HBV,0.0,,,,,,iraja
181,2014-12-08,13:00:00,HBV,0.0,,,,,,iraja
182,2014-12-08,14:00:00,HBV,0.0,,,,,,iraja
183,2014-12-08,15:00:00,HBV,0.0,,,,,,iraja
184,2014-12-08,16:00:00,HBV,0.0,,,,,,iraja
185,2014-12-08,17:00:00,HBV,0.0,,,,,,iraja
186,2014-12-08,18:00:00,HBV,0.0,,,,,,iraja
187,2014-12-08,19:00:00,HBV,0.0,,,,,,iraja
188,2014-12-08,20:00:00,HBV,0.0,,,,,,iraja
189,2014-12-08,21:00:00,HBV,0.0,,,,,,iraja
190,2014-12-08,22:00:00,HBV,0.0,,,,,,iraja
191,2014-12-08,23:00:00,HBV,0.0,,,,,,iraja
192,2014-12-09,00:00:00,HBV,0.0,,,,,,iraja
193,2014-12-09,01:00:00,HBV,0.0,,,,,,iraja
194,2014-12-09,02:00:00,HBV,0.0,,,,,,iraja
195,2014-12-09,03:00:00,HBV,0.0,,,,,,iraja
196,2014-12-09,04:00:00,HBV,0.0,,,,,,iraja
197,2014-12-09,05:00:00,HBV,0.0,,,,,,iraja
198,2014-12-09,06:00:00,HBV,0.0,,,,,,iraja
199,2014-12-09,07:00:00,HBV,0.0,,,,,,iraja
200,2014-12-09,08:00:00,HBV,0.0,,,,,,iraja
201,2014-12-09,09:00:00,HBV,0.0,,,,,,iraja
202,2014-12-09,10:00:00,HBV,0.0,,,,,,iraja
203,2014-12-09,11:00:00,HBV,0.0,,,,,,iraja
204,2014-12-09,12:00:00,HBV,0.0,,,,,,iraja
205,2014-12-09,13:00:00,HBV,0.0,,,,,,iraja
206,2014-12-09,14:00:00,HBV,0.0,,,,,,iraja
207,2014-12-09,15:00:00,HBV,0.0,,,,,,iraja
208,2014-12-09,16:00:00,HBV,0.0,,,,,,iraja
209,2014-12-09,17:00:00,HBV,0.0,,,,,,iraja
210,2014-12-09,18:00:00,HBV,0.0,,,,,,iraja
211,2014-12-09,19:00:00,HBV,0.0,,,,,,iraja
212,2014-12-09,20:00:00,HBV,0.0,,,,,,iraja
213,2014-12-09,21:00:00,HBV,0.0,,,,,,iraja
214,2014-12-09,22:00:00,HBV,0.0,,,,,,iraja
