,Chuva,Dia,DirVento,HBV,Hora,Pressao,Temperatura,Umidade,VelVento,estacao,CAPE,CIN,showalter,lift_index,k_index,total_totals,Wx,Wy,Day sin,Day cos,Year sin,Year cos
4693,0.0,2019-12-17,0.0,HBV,03:00:00,0.0,26.6,75.0,0.0,iraja,1529.6026431058622,-121.93058192768393,0.0,-276.7759110145584,9.95,40.2,0.0,0.0,0.7071067811860734,0.7071067811870216,-0.2551875362954307,0.9668915768168984
4694,0.0,2019-12-17,0.0,HBV,04:00:00,0.0,26.8,75.0,0.0,iraja,1564.4921518097372,-112.18669154367274,0.0,-276.8557989372699,10.455555555555556,40.2,0.0,0.0,0.8660254037814644,0.5000000000051514,-0.2544944199560721,0.9670742423471025
4695,0.0,2019-12-17,0.0,HBV,05:00:00,0.0,26.7,74.0,0.0,iraja,1599.3816605136121,-102.44280115966154,0.0,-276.93568685998144,10.96111111111111,40.2,0.0,0.0,0.9659258262861627,0.25881904511336445,-0.2538011728633452,0.9672564110168463
4696,0.0,2019-12-17,0.0,HBV,06:00:00,0.0,27.1,73.0,0.0,iraja,1634.2711692174873,-92.69891077565035,0.0,-277.01557478269297,11.466666666666667,40.2,0.0,0.0,1.0,1.952189619718153e-12,-0.2531077953733693,0.9674380827325502
4697,0.0,2019-12-17,0.0,HBV,07:00:00,0.0,29.1,67.0,0.0,iraja,1669.1606779213625,-82.95502039163915,0.0,-277.0954627054045,11.972222222222221,40.2,0.0,0.0,0.9659258262909396,-0.25881904509553705,-0.2524142878424958,0.9676192574008465
4698,0.0,2019-12-17,0.0,HBV,08:00:00,0.0,31.2,60.0,0.0,iraja,1704.0501866252375,-73.21113000762796,0.0,-277.175350628116,12.477777777777778,40.2,0.0,0.0,0.8660254037906926,-0.49999999998916783,-0.25172065062697785,0.9677999349286664
4699,0.0,2019-12-17,0.0,HBV,09:00:00,0.0,31.6,54.0,0.0,iraja,1738.9396953291125,-63.46723962361676,0.0,-277.2552385508275,12.983333333333334,40.2,0.0,0.0,0.7071067811888342,-0.7071067811842608,-0.25102688408319035,0.967980115223182
4700,0.0,2019-12-17,0.0,HBV,10:00:00,0.0,32.9,49.0,0.0,iraja,1773.8292040329877,-53.72334923960557,0.0,-277.33512647353905,13.48888888888889,40.2,0.0,0.0,0.5000000000073713,-0.8660254037801828,-0.2503329885675745,0.9681597981918205
4701,0.0,2019-12-17,0.0,HBV,11:00:00,0.0,33.4,46.0,0.0,iraja,1808.7187127368627,-43.97945885559437,0.0,-277.41501439625057,13.994444444444444,40.2,0.0,0.0,0.2588190451017844,-0.9659258262892656,-0.24963896443663788,0.9683389837422652
4702,0.0,2019-12-17,0.0,HBV,12:00:00,0.0,35.0,51.0,0.0,iraja,1843.608221440738,-34.235568471583186,0.0,-277.4949023189621,14.5,40.2,0.0,0.0,4.5155337713126716e-12,-1.0,-0.24894481204695404,0.9685176717824547
4703,0.0,2019-12-17,0.0,HBV,13:00:00,0.0,34.0,55.0,0.0,iraja,1785.0158536015915,-38.90452077681292,0.0,-277.29698347487545,16.083333333333332,40.233333333333334,0.0,0.0,-0.2588190450930611,-0.965925826291603,-0.24825053175516248,0.9686958622205831
4704,0.0,2019-12-17,0.0,HBV,14:00:00,0.0,32.4,60.0,0.0,iraja,1726.4234857624451,-43.57347308204265,0.0,-277.09906463078886,17.666666666666668,40.266666666666666,0.0,0.0,-0.49999999999955025,-0.8660254037846983,-0.24755612391796847,0.9688735549651004
4705,0.0,2019-12-17,0.0,HBV,15:00:00,0.0,31.1,64.0,0.0,iraja,1667.831117923299,-48.24242538727239,0.0,-276.9011457867023,19.25,40.300000000000004,0.0,0.0,-0.7071067811824483,-0.7071067811906467,-0.24686158889214269,0.969050749924712
4706,0.0,2019-12-17,0.0,HBV,16:00:00,0.0,30.8,64.0,0.0,iraja,1609.2387500841526,-52.91137769250213,0.0,-276.70322694261563,20.833333333333332,40.333333333333336,0.0,0.0,-0.8660254037789011,-0.5000000000095913,-0.24616692703452128,0.9692274470083793
4707,0.0,2019-12-17,0.0,HBV,17:00:00,0.0,29.6,71.0,0.0,iraja,1550.6463822450062,-57.58032999773186,0.0,-276.505308098529,22.416666666666664,40.36666666666667,0.0,0.0,-0.9659258262886021,-0.2588190451042604,-0.2454721387020055,0.9694036461253194
4708,0.0,2019-12-17,0.0,HBV,18:00:00,0.0,27.5,79.0,0.0,iraja,1492.05401440586,-62.249282302961596,0.0,-276.3073892544424,24.0,40.400000000000006,0.0,0.0,-1.0,-7.078877922907191e-12,-0.2447772242515615,0.9695793471850052
4709,0.0,2019-12-17,0.0,HBV,19:00:00,0.0,25.9,83.0,0.0,iraja,1433.4616465667136,-66.91823460819133,0.0,-276.1094704103558,25.583333333333332,40.43333333333334,0.0,0.0,-0.9659258262922664,0.25881904509058506,-0.24408218404022042,0.9697545500971656
4710,0.0,2019-12-17,0.0,HBV,20:00:00,0.0,25.6,84.0,0.0,iraja,1374.8692787275672,-71.58718691342106,0.0,-275.91155156626917,27.166666666666664,40.46666666666667,0.0,0.0,-0.86602540378598,0.4999999999973303,-0.24338701842502272,0.9699292547717991
4711,0.0,2019-12-17,0.0,HBV,21:00:00,0.0,25.8,84.0,0.0,iraja,1316.2769108884208,-76.2561392186508,0.0,-275.7136327221825,28.75,40.5,0.0,0.0,-0.7071067811924593,0.7071067811806357,-0.24269172776323872,0.970103461119119
4712,0.0,2019-12-17,0.0,HBV,22:00:00,0.0,25.6,85.0,0.0,iraja,1257.6845430492745,-80.92509152388052,0.0,-275.51571387809594,30.333333333333332,40.53333333333333,0.0,0.0,-0.49999999999920886,0.8660254037848955,-0.24199631241203762,0.9702771690496358
4713,0.0,2019-12-17,0.0,HBV,23:00:00,0.0,25.6,86.0,0.0,iraja,1199.0921752101283,-85.59404382911026,0.0,-275.31779503400935,31.916666666666664,40.56666666666667,0.0,0.0,-0.2588190451067364,0.9659258262879387,-0.24130077272870784,0.9704503784741023
4714,0.0,2019-12-18,0.0,HBV,00:00:00,0.0,25.6,85.0,0.0,iraja,1140.499807370982,-90.26299613434,0.0,-275.1198761899227,33.5,40.6,0.0,0.0,-9.64222207450171e-12,1.0,-0.2406051090706016,0.9706230893035277
4715,0.0,2019-12-18,0.0,HBV,01:00:00,0.0,25.7,85.0,0.0,iraja,1155.7873999714484,-88.72377138947263,0.0,-275.23228915280833,33.483333333333334,40.88333333333333,0.0,0.0,0.25881904510216514,0.9659258262891636,-0.23990932179513486,0.970795301449177
4716,0.0,2019-12-18,0.0,HBV,02:00:00,0.0,25.5,85.0,0.0,iraja,1171.0749925719151,-87.18454664460525,0.0,-275.344702115694,33.46666666666667,41.16666666666667,0.0,0.0,0.4999999999951104,0.8660254037872617,-0.2392134112597871,0.9709670148225716
4717,0.0,2019-12-18,0.0,HBV,03:00:00,0.0,25.2,87.0,0.0,iraja,1186.3625851723818,-85.64532189973788,0.0,-275.45711507857965,33.45,41.45,0.0,0.0,0.7071067811788232,0.7071067811942718,-0.2385173778221011,0.9711382293354891
4718,0.0,2019-12-18,0.0,HBV,04:00:00,0.0,25.2,87.0,0.0,iraja,1201.6501777728483,-84.10609715487051,0.0,-275.5695280414653,33.43333333333333,41.733333333333334,0.0,0.0,0.8660254037836137,0.5000000000014289,-0.23782122183968285,0.9713089448999636
4719,0.0,2019-12-18,0.0,HBV,05:00:00,0.0,24.9,88.0,0.0,iraja,1216.9377703733148,-82.56687241000313,0.0,-275.68194100435096,33.416666666666664,42.016666666666666,0.0,0.0,0.9659258262872753,0.2588190451092124,-0.2371249436702012,0.971479161428285
4720,0.0,2019-12-18,0.0,HBV,06:00:00,0.0,26.1,85.0,0.0,iraja,1232.2253629737816,-81.02764766513576,0.0,-275.7943539672366,33.4,42.3,0.0,0.0,1.0,1.2205566226096229e-11,-0.23642854367138785,0.9716488788330003
4721,0.0,2019-12-18,0.0,HBV,07:00:00,0.0,27.6,78.0,0.0,iraja,1247.5129555742483,-79.48842292026839,0.0,-275.9067669301222,33.38333333333333,42.583333333333336,0.0,0.0,0.965925826289827,-0.2588190450996891,-0.23573202220103706,0.9718180970269127
4722,0.0,2019-12-18,0.0,HBV,08:00:00,0.0,30.4,68.0,0.0,iraja,1262.8005481747148,-77.94919817540101,0.0,-276.0191798930079,33.36666666666667,42.86666666666667,0.0,0.0,0.8660254037885433,-0.49999999999289046,-0.23503537961700552,0.9719868159230813
