Relatório Meteorológico da Estação: Guaratiba

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   Chuva  DirVento  VelVento  Temperatura  Pressao  Umidade
                                     (graus)     (m/s)    (celsius)    (hPa)      (%)
01/01/2015  00:00:00  HBV     0.0       148       4.0         26.2   1007.0       79
01/01/2015  00:15:00  HBV     0.0       161       4.3         26.7   1006.6       78
01/01/2015  00:30:00  HBV     0.0       129       3.1         26.3   1007.0       78
01/01/2015  00:45:00  HBV     0.0       145       5.7         26.4   1006.6       77
01/01/2015  01:00:00  HBV     0.0       094       2.4         26.8   1006.1       77
01/01/2015  01:15:00  HBV     0.0       141       3.0         26.3   1006.0       77
01/01/2015  01:30:00  HBV     0.0       130       4.5         26.5   1005.4       75
01/01/2015  01:45:00  HBV     0.0       109       1.8         26.3   1005.0       74
01/01/2015  02:00:00  HBV     0.0       172       2.5         26.7   1004.8       73
01/01/2015  02:15:00  HBV     0.0       139       4.4         26.8   1004.9       72
01/01/2015  02:30:00  HBV     0.0       157       3.1         25.9   1004.9       73
01/01/2015  02:45:00  HBV     0.0       167       1.0         25.8   1004.9       73
01/01/2015  03:00:00  HBV     0.0       159       1.1         26.3   1004.9       70
01/01/2015  03:15:00  HBV     0.0       109       2.1         27.0   1004.9       69
01/01/2015  03:30:00  HBV     0.0       172       3.0         27.1   1004.9       68
01/01/2015  03:45:00  HBV     0.0       150       2.0         26.7   1004.9       70
01/01/2015  04:00:00  HBV     0.0       166       4.7         26.5   1004.9       71
01/01/2015  04:15:00  HBV     0.0       169       3.5         26.7   1005.2       69
01/01/2015  04:30:00  HBV     0.0       149       2.3         26.8   1005.2       69
01/01/2015  04:45:00  HBV     0.0       127       3.3         27.0   1005.2       69
01/01/2015  05:00:00  HBV     0.0       171       3.8         27.0   1005.4       70
01/01/2015  05:15:00  HBV     0.0       164       4.4         26.7   1005.2       69
01/01/2015  05:30:00  HBV     0.0       129       2.9         27.0   1005.2       68
01/01/2015  05:45:00  HBV     0.0       193       6.1         27.4   1005.4       67
01/01/2015  06:00:00  HBV     0.0       149       2.4         27.3   1005.6       66
01/01/2015  06:15:00  HBV     0.0       133       4.5         27.6   1005.6       66
01/01/2015  06:30:00  HBV     0.0       144       0.9         27.5   1006.1       66
01/01/2015  06:45:00  HBV     0.0       098       2.5         28.6   1005.8       64
01/01/2015  07:00:00  HBV     0.0       206       2.5         27.6   1006.0       67
01/01/2015  07:15:00  HBV     0.0       237       0.6         27.4   1006.1       70
01/01/2015  07:30:00  HBV     0.0       179       2.4         27.4   1006.1       69
01/01/2015  07:45:00  HBV     0.0       169       0.6         29.1   1006.1       65
01/01/2015  08:00:00  HBV     0.0       146       3.0         29.6   1006.1       63
01/01/2015  08:15:00  HBV     0.0       145       3.4         30.3   1006.1       61
01/01/2015  08:30:00  HBV     0.0       110       2.7         31.7   1006.5       59
01/01/2015  08:45:00  HBV     0.0       151       0.7         31.2   1006.5       61
01/01/2015  09:00:00  HBV     0.0       155       2.0         30.4   1006.7       62
01/01/2015  09:15:00  HBV     0.0       151       3.0         31.2   1006.7       61
01/01/2015  09:30:00  HBV     0.0       103       3.8         32.1   1006.5       57
01/01/2015  09:45:00  HBV     0.0       163       4.4         34.5   1006.6       51
01/01/2015  10:00:00  HBV     0.0       102       3.0         35.8   1006.5       48
01/01/2015  10:15:00  HBV     0.0       172       5.0         36.0   1006.5       48
01/01/2015  10:30:00  HBV     0.0       104       1.7         35.8   1006.6       48
01/01/2015  10:45:00  HBV     0.0       180       3.1         36.3   1006.2       47
01/01/2015  11:00:00  HBV     0.0       173       4.7         36.7   1006.2       47
01/01/2015  11:15:00  HBV     0.0       142       3.5         37.4   1006.2       46
01/01/2015  11:30:00  HBV     0.0       116       4.3         37.1   1006.0       46
01/01/2015  11:45:00  HBV     0.0       139       2.3         36.7   1005.8       47
01/01/2015  12:00:00  HBV     0.0       118       3.2         38.5   1005.9       44
01/01/2015  12:15:00  HBV     0.0         -       0.0         39.0   1005.9       43
01/01/2015  12:30:00  HBV     0.0       349       2.9         35.3   1005.9       58
01/01/2015  12:45:00  HBV     0.0       278       2.4         33.0   1005.5       62
01/01/2015  13:00:00  HBV     0.0       315       4.5         31.3   1005.5       67
01/01/2015  13:15:00  HBV     0.0       286       2.5         32.8   1005.3       58
01/01/2015  13:30:00  HBV     0.0       296       3.2         33.0   1005.0       58
01/01/2015  13:45:00  HBV     0.0       309       4.2         32.4   1005.0       60
01/01/2015  14:00:00  HBV     0.0       264       3.4         32.9   1004.8       59
01/01/2015  14:15:00  HBV     0.0       290       2.9         34.0   1004.8       57
01/01/2015  14:30:00  HBV     0.0       293       5.1         34.3   1004.3       55
01/01/2015  14:45:00  HBV     0.0       302       3.4         34.6   1004.3       56
01/01/2015  15:00:00  HBV     0.0       292       2.0         34.0   1004.1       56
01/01/2015  15:15:00  HBV     0.0       287       4.2         34.2   1003.8       57
01/01/2015  15:30:00  HBV     0.0       249       3.7         34.2   1003.8       56
01/01/2015  15:45:00  HBV     0.0       274       1.7         35.7   1003.6       52
01/01/2015  16:00:00  HBV     0.0       267       3.4         35.6   1003.3       55
01/01/2015  16:15:00  HBV     0.0       267       3.8         34.6   1003.1       51
01/01/2015  16:30:00  HBV     0.0       256       2.7         34.3   1003.2       51
01/01/2015  16:45:00  HBV     0.0       270       2.8         34.6   1003.3       48
01/01/2015  17:00:00  HBV     0.0       278       4.0         34.8   1003.3       49
01/01/2015  17:15:00  HBV     0.0       223       3.5         34.5   1003.3       50
01/01/2015  17:30:00  HBV     0.0       256       4.0         34.1   1003.6       48
01/01/2015  17:45:00  HBV     0.0       231       2.0         33.7   1003.6       50
01/01/2015  18:00:00  HBV     0.0       199       1.2         33.6   1003.6       49
01/01/2015  18:15:00  HBV     0.0       243       2.1         33.5   1003.8       49
01/01/2015  18:30:00  HBV     0.0       262       1.5         32.5   1004.1       49
01/01/2015  18:45:00  HBV     0.0       260       1.4         31.9   1003.8       50
01/01/2015  19:00:00  HBV     0.0         -       0.0         32.1   1004.1       51
01/01/2015  19:15:00  HBV     0.0       187       0.8         31.3   1005.0       51
01/01/2015  19:30:00  HBV     0.0       272       0.7         31.0   1004.9       51
01/01/2015  19:45:00  HBV     0.0       299       1.6         30.3   1005.3       55
01/01/2015  20:00:00  HBV     0.0       241       2.4         30.7   1005.5       52
01/01/2015  20:15:00  HBV     0.0       137       0.3         30.8   1006.0       55
01/01/2015  20:30:00  HBV     0.0       144       0.2         30.9   1006.2       54
01/01/2015  20:45:00  HBV     0.0       121       1.6         31.0   1006.5       57
01/01/2015  21:00:00  HBV     0.0         -       0.0         30.3   1006.2       59
01/01/2015  21:15:00  HBV     0.0       003       0.5         29.8   1006.5       69
01/01/2015  21:30:00  HBV     0.0       101       1.9         29.0   1006.5       74
01/01/2015  21:45:00  HBV     0.0         -       0.0         28.7   1006.2       74
01/01/2015  22:00:00  HBV     0.0       031       0.8         28.6   1006.2       76
01/01/2015  22:15:00  HBV     0.0       046       2.0         28.1   1006.4       80
01/01/2015  22:30:00  HBV     0.0       164       0.3         27.7   1006.2       80
01/01/2015  22:45:00  HBV     0.0         -       0.0         27.7   1006.4       80
01/01/2015  23:00:00  HBV     0.0         -       0.0         27.3   1006.4       82
01/01/2015  23:15:00  HBV     0.0       189       0.5         27.3   1006.6       84
01/01/2015  23:30:00  HBV     0.0       146       2.9         27.1   1006.9       85
01/01/2015  23:45:00  HBV     0.0       138       2.0         27.1   1006.9       84
02/01/2015  00:00:00  HBV     0.0       166       1.3         27.1   1006.4       82
02/01/2015  00:15:00  HBV     0.0       150       0.6         27.1   1006.2       80
02/01/2015  00:30:00  HBV     0.0       170       0.1         26.9   1005.6       80
02/01/2015  00:45:00  HBV     0.0       165       0.1         27.0   1005.2       79
02/01/2015  01:00:00  HBV     0.0       161       0.4         26.9   1004.9       79
02/01/2015  01:15:00  HBV     0.0       122       1.7         27.0   1004.9       81
02/01/2015  01:30:00  HBV     0.0       125       0.7         26.5   1004.7       83
02/01/2015  01:45:00  HBV     0.0       118       0.6         26.8   1004.7       81
02/01/2015  02:00:00  HBV     0.0       145       0.4         27.1   1004.4       78
02/01/2015  02:15:00  HBV     0.0         -       0.0         27.0   1004.2       79
02/01/2015  02:30:00  HBV     0.0       164       0.8         27.0   1003.9       77
02/01/2015  02:45:00  HBV     0.0       155       0.3         27.1   1003.7       75
02/01/2015  03:00:00  HBV     0.0       157       2.2         27.4   1003.4       73
02/01/2015  04:15:00  HBV     0.0       149       2.5         29.1   1003.7       64
02/01/2015  04:30:00  HBV     0.0       176       2.3         29.2   1003.7       63
02/01/2015  04:45:00  HBV     0.0       128       1.0         29.2   1003.7       62
02/01/2015  05:00:00  HBV     0.0       115       2.9         29.3   1003.9       62
02/01/2015  05:15:00  HBV     0.0       139       2.5         29.9   1003.9       61
02/01/2015  05:30:00  HBV     0.0       150       0.9         29.2   1004.2       63
02/01/2015  05:45:00  HBV     0.0       138       2.1         28.8   1004.2       64
02/01/2015  06:00:00  HBV     0.0       151       0.5         29.0   1004.4       64
02/01/2015  06:15:00  HBV     0.0       166       0.7         28.6   1004.7       66
02/01/2015  06:30:00  HBV     0.0       182       0.7         28.6   1004.9       66
02/01/2015  06:45:00  HBV     0.0       165       2.7         29.6   1004.9       65
02/01/2015  07:00:00  HBV     0.0       150       0.2         30.3   1005.2       63
02/01/2015  07:15:00  HBV     0.0       158       1.7         31.4   1005.4       61
02/01/2015  07:30:00  HBV     0.0       143       0.6         32.0   1005.8       60
02/01/2015  07:45:00  HBV     0.0       151       3.6         32.4   1005.8       59
02/01/2015  08:00:00  HBV     0.0       148       0.6         33.1   1005.8       57
02/01/2015  08:15:00  HBV     0.0       139       0.9         34.0   1005.8       55
02/01/2015  08:30:00  HBV     0.0       142       1.8         34.6   1005.8       54
02/01/2015  08:45:00  HBV     0.0       108       0.7         35.1   1006.0       53
02/01/2015  09:00:00  HBV     0.0       122       3.2         35.3   1006.2       52
02/01/2015  09:15:00  HBV     0.0       080       2.6         36.0   1006.2       52
02/01/2015  09:30:00  HBV     0.0       068       3.6         36.2   1006.2       52
02/01/2015  09:45:00  HBV     0.0       129       2.6         36.7   1006.2       50
02/01/2015  10:00:00  HBV     0.0       049       1.9         37.1   1006.5       48
02/01/2015  10:15:00  HBV     0.0       007       0.5         34.2   1006.5       64
02/01/2015  10:30:00  HBV     0.0       064       0.8         38.7   1006.5       44
02/01/2015  10:45:00  HBV     0.0         -       0.0         33.7   1006.5       67
02/01/2015  11:00:00  HBV     0.0       285       1.4         32.1   1006.5       71
02/01/2015  11:15:00  HBV     0.0       305       1.7         31.2   1006.5       77
02/01/2015  11:30:00  HBV     0.0       278       1.2         31.5   1006.5       76
02/01/2015  11:45:00  HBV     0.0       309       2.4         31.7   1006.2       76
02/01/2015  12:00:00  HBV     0.0       303       2.0         31.8   1006.5       78
02/01/2015  12:15:00  HBV     0.0       309       3.3         31.4   1006.5       79
02/01/2015  12:30:00  HBV     0.0       319       2.9         31.2   1006.5       80
02/01/2015  12:45:00  HBV     0.0       301       2.0         31.8   1006.2       78
02/01/2015  13:00:00  HBV     0.0       300       2.5         31.9   1006.0       76
02/01/2015  13:15:00  HBV     0.0       313       3.0         32.5   1005.5       74
02/01/2015  13:30:00  HBV     0.0       298       2.9         32.5   1005.5       70
02/01/2015  13:45:00  HBV     0.0       272       2.1         33.9   1005.5       67
02/01/2015  14:00:00  HBV     0.0       321       0.7         33.4   1005.5       67
02/01/2015  14:15:00  HBV     0.0       323       2.2         32.6   1005.3       71
02/01/2015  14:30:00  HBV     0.0       329       2.0         33.2   1005.3       67
02/01/2015  14:45:00  HBV     0.0       342       0.5         33.4   1005.3       69
02/01/2015  15:00:00  HBV     0.0       338       2.3         32.5   1004.8       72
02/01/2015  15:15:00  HBV     0.0       301       2.6         33.2   1004.8       69
02/01/2015  15:30:00  HBV     0.0       314       2.3         33.5   1004.8       69
02/01/2015  15:45:00  HBV     0.0       281       2.1         32.9   1004.5       70
02/01/2015  16:00:00  HBV     0.0       296       2.7         33.4   1004.5       69
02/01/2015  16:15:00  HBV     0.0       298       3.4         33.5   1004.5       68
02/01/2015  16:30:00  HBV     0.0       287       2.9         32.9   1004.8       70
02/01/2015  16:45:00  HBV     0.0       280       2.2         33.0   1005.0       67
02/01/2015  17:00:00  HBV     0.0       294       3.8         33.4   1005.0       63
02/01/2015  17:15:00  HBV     0.0       306       3.3         32.6   1005.0       67
02/01/2015  17:30:00  HBV     0.0       277       2.1         33.0   1004.8       67
02/01/2015  17:45:00  HBV     0.0       276       1.6         35.6   1004.5       57
02/01/2015  18:00:00  HBV     0.0       288       1.4         34.2   1004.3       61
02/01/2015  18:15:00  HBV     0.0         -       0.0         33.9   1004.3       64
02/01/2015  18:30:00  HBV     0.0       302       0.6         33.2   1004.1       62
02/01/2015  18:45:00  HBV     0.0         -       0.0         32.3   1004.3       67
02/01/2015  19:00:00  HBV     0.0         -       0.0         33.0   1004.3       61
02/01/2015  19:15:00  HBV     0.0         -       0.0         33.0   1004.5       61
02/01/2015  19:30:00  HBV     0.0         -       0.0         31.4   1004.8       63
02/01/2015  19:45:00  HBV     0.0         -       0.0         31.3   1004.5       67
02/01/2015  20:00:00  HBV     0.0         -       0.0         30.8   1005.0       68
02/01/2015  20:15:00  HBV     0.0         -       0.0         31.0   1005.3       69
02/01/2015  20:30:00  HBV     0.0       152       0.6         30.8   1005.5       68
02/01/2015  20:45:00  HBV     0.0       149       0.8         30.7   1005.8       66
02/01/2015  21:00:00  HBV     0.0       142       2.4         30.7   1006.2       63
02/01/2015  21:15:00  HBV     0.0       162       0.4         30.6   1006.2       65
02/01/2015  21:30:00  HBV     0.0         -       0.0         30.1   1006.7       71
02/01/2015  21:45:00  HBV     0.0         -       0.0         30.1   1007.0       74
02/01/2015  22:00:00  HBV     0.0         -       0.0         29.7   1007.1       79
02/01/2015  22:15:00  HBV     0.0       327       1.2         29.2   1007.7       88
02/01/2015  22:30:00  HBV     0.0         -       0.0         28.6   1008.1       93
02/01/2015  22:45:00  HBV     0.0         -       0.0         28.2   1008.2       94
02/01/2015  23:00:00  HBV     0.0         -       0.0         28.7   1008.4       93
02/01/2015  23:15:00  HBV     0.0         -       0.0         29.0   1008.6       90
02/01/2015  23:30:00  HBV     0.0       031       6.9         28.7   1009.5       92
02/01/2015  23:45:00  HBV     0.0       337       8.3         27.9   1009.4       94
03/01/2015  00:00:00  HBV     0.0       351       6.6         27.6   1009.9       95
03/01/2015  00:15:00  HBV     0.0       342       6.5         27.4   1009.5       96
03/01/2015  00:30:00  HBV     0.0       344       7.7         27.5   1009.3       94
03/01/2015  00:45:00  HBV     0.0       334       6.1         27.5   1009.5       95
03/01/2015  01:00:00  HBV     0.0       341       5.7         27.5   1009.8       92
03/01/2015  01:15:00  HBV     0.0       357       6.4         27.3   1009.5       94
03/01/2015  01:30:00  HBV     0.0       349       2.8         27.1   1009.5       87
03/01/2015  01:45:00  HBV     0.0       357       3.9         27.3   1009.1       82
03/01/2015  02:00:00  HBV     0.0       002       1.7         27.1   1008.8       84
03/01/2015  02:15:00  HBV     0.0       358       3.0         26.9   1008.3       86
03/01/2015  02:30:00  HBV     0.0       342       2.0         26.5   1007.8       87
03/01/2015  02:45:00  HBV     0.0         -       0.0         26.0   1007.6       88
03/01/2015  03:00:00  HBV     0.0       208       0.4         25.6   1007.1       90
03/01/2015  04:15:00  HBV     0.0       256       0.3         25.1   1006.1       91
03/01/2015  04:30:00  HBV     0.0       308       1.0         25.8   1006.1       89
03/01/2015  04:45:00  HBV     0.0       332       2.8         26.4   1006.6       87
03/01/2015  05:00:00  HBV     0.0       355       1.7         26.8   1007.1       85
03/01/2015  05:15:00  HBV     0.0       338       2.6         26.7   1007.3       87
03/01/2015  05:30:00  HBV     0.0       343       3.4         26.4   1007.8       91
03/01/2015  05:45:00  HBV     0.0       327       3.8         26.4   1008.3       93
03/01/2015  06:00:00  HBV     0.0       335       4.4         26.2   1008.6       95
03/01/2015  06:15:00  HBV     0.0       339       5.5         26.0   1008.8       97
03/01/2015  06:30:00  HBV     0.0       350       5.6         26.3   1009.1       97
03/01/2015  06:45:00  HBV     0.0       344       5.0         26.8   1009.1       96
03/01/2015  07:00:00  HBV     0.0       334       4.0         27.0   1009.7       94
03/01/2015  07:15:00  HBV     0.0       360       2.5         26.8   1009.8       94
03/01/2015  07:30:00  HBV     0.0       000       2.1         26.9   1010.0       93
03/01/2015  07:45:00  HBV     0.0       359       2.5         27.5   1010.3       90
03/01/2015  08:00:00  HBV     0.0       344       3.1         27.7   1010.5       88
03/01/2015  08:15:00  HBV     0.0       356       2.1         27.9   1010.5       87
03/01/2015  08:30:00  HBV     0.0       014       2.8         28.8   1010.5       84
03/01/2015  08:45:00  HBV     0.0       009       1.3         28.2   1010.8       84
03/01/2015  09:00:00  HBV     0.0       352       2.7         29.2   1010.8       82
03/01/2015  09:15:00  HBV     0.0       359       2.8         29.0   1011.0       84
03/01/2015  09:30:00  HBV     0.0       002       1.8         28.7   1011.1       87
03/01/2015  09:45:00  HBV     0.0       349       3.5         28.4   1011.1       86
03/01/2015  10:00:00  HBV     0.0       344       3.6         28.2   1011.0       85
03/01/2015  10:15:00  HBV     0.0       349       1.9         29.2   1011.0       82
03/01/2015  10:30:00  HBV     0.0       340       1.5         29.6   1010.9       80
03/01/2015  10:45:00  HBV     0.0       322       2.1         30.1   1010.8       78
03/01/2015  11:00:00  HBV     0.0       338       2.2         29.7   1010.9       79
03/01/2015  11:15:00  HBV     0.0       328       2.8         30.4   1011.1       79
03/01/2015  11:30:00  HBV     0.0       325       3.2         29.8   1011.1       82
03/01/2015  11:45:00  HBV     0.0       326       3.7         29.6   1011.1       81
03/01/2015  12:00:00  HBV     0.0       356       4.5         29.2   1011.1       82
03/01/2015  12:15:00  HBV     0.0       345       4.9         29.0   1010.8       83
03/01/2015  12:30:00  HBV     0.0       322       5.0         28.5   1010.9       85
03/01/2015  12:45:00  HBV     0.0       314       3.7         28.7   1010.6       84
03/01/2015  13:00:00  HBV     0.0       342       2.5         29.2   1010.6       83
03/01/2015  13:15:00  HBV     0.0       320       2.3         30.4   1010.4       79
03/01/2015  13:30:00  HBV     0.0       320       4.3         29.7   1010.4       78
03/01/2015  13:45:00  HBV     0.0       321       4.4         30.2   1010.2       79
03/01/2015  14:00:00  HBV     0.0       304       3.7         29.9   1010.0       79
03/01/2015  14:15:00  HBV     0.0       324       2.2         30.3   1010.2       77
03/01/2015  14:30:00  HBV     0.0       313       4.8         29.5   1010.2       78
03/01/2015  14:45:00  HBV     0.0       308       4.5         29.6   1010.2       77
03/01/2015  15:00:00  HBV     0.0       310       2.7         30.1   1009.5       79
03/01/2015  15:15:00  HBV     0.0       285       2.2         30.2   1009.8       81
03/01/2015  15:30:00  HBV     0.0       302       4.1         29.9   1009.7       81
03/01/2015  15:45:00  HBV     0.0       301       3.9         29.8   1009.7       82
03/01/2015  16:00:00  HBV     0.0       297       2.5         29.2   1009.4       83
03/01/2015  16:15:00  HBV     0.0       306       3.9         29.8   1009.4       83
03/01/2015  16:30:00  HBV     0.0       300       3.9         29.7   1009.2       83
03/01/2015  16:45:00  HBV     0.0       273       3.1         29.3   1009.2       85
03/01/2015  17:00:00  HBV     0.0       312       4.5         29.1   1008.8       83
03/01/2015  17:15:00  HBV     0.0       273       3.9         29.1   1009.2       84
03/01/2015  17:30:00  HBV     0.0       289       3.7         29.1   1009.2       81
03/01/2015  17:45:00  HBV     0.0       303       3.2         28.1   1009.4       87
03/01/2015  18:00:00  HBV     0.0       353       3.6         27.7   1009.4       89
03/01/2015  18:15:00  HBV     0.0       347       3.6         27.6   1009.7       90
03/01/2015  18:30:00  HBV     0.0       346       3.5         27.1   1009.9       93
03/01/2015  18:45:00  HBV     0.0       340       4.4         27.1   1009.8       91
03/01/2015  19:00:00  HBV     0.0       334       5.0         27.3   1009.8       91
03/01/2015  19:15:00  HBV     0.0       327       2.5         27.1   1010.0       91
03/01/2015  19:30:00  HBV     0.0       320       3.1         27.1   1010.3       92
03/01/2015  19:45:00  HBV     0.0       298       2.3         26.9   1010.5       93
03/01/2015  20:00:00  HBV     0.0       307       1.3         26.9   1010.5       92
03/01/2015  20:15:00  HBV     0.0       314       2.0         26.9   1010.5       92
03/01/2015  20:30:00  HBV     0.0       271       1.5         26.5   1010.8       91
03/01/2015  20:45:00  HBV     0.0       298       2.5         26.8   1010.5       91
03/01/2015  21:00:00  HBV     0.0       292       0.3         26.4   1011.0       91
03/01/2015  21:15:00  HBV     0.0       314       2.8         26.8   1011.3       91
03/01/2015  21:30:00  HBV     0.0       287       1.9         26.5   1011.3       91
03/01/2015  21:45:00  HBV     0.0       283       1.1         26.5   1011.5       91
03/01/2015  22:00:00  HBV     0.0       270       0.5         26.4   1011.5       91
03/01/2015  22:15:00  HBV     0.0       273       0.5         26.4   1011.7       91
03/01/2015  22:30:00  HBV     0.0         -       0.0         26.5   1012.0       90
03/01/2015  22:45:00  HBV     0.0         -       0.0         26.4   1011.7       90
03/01/2015  23:00:00  HBV     0.0       276       1.0         26.7   1011.7       91
