Relatório Meteorológico da Estação: São Cristóvão 
 
Dados normalizados para o Horário Brasileiro de Verão (HBV) 
 
Dia Hora HBV Chuva DirVento VelVento Temperatura Pressao Umidade 
 (graus) (Km/h) (celsius) (hPa) (%) 
01/04/2021 00:00:00 HBV 0.8 234 4.6 22.5 1005.5 85 
01/04/2021 00:05:00 HBV 0.0 - 0.0 22.4 1005.5 86 
01/04/2021 00:10:00 HBV 0.0 - 0.0 22.5 1005.5 87 
01/04/2021 00:15:00 HBV 0.0 - 0.0 22.6 1005.3 87 
01/04/2021 00:20:00 HBV 0.0 - 0.0 22.4 1005.3 87 
01/04/2021 00:25:00 HBV 0.0 - 0.0 22.5 1005.3 87 
01/04/2021 00:30:00 HBV 0.0 - 0.0 22.5 1005.3 87 
01/04/2021 00:35:00 HBV 0.0 - 0.0 22.6 1005.3 87 
01/04/2021 00:40:00 HBV 0.0 - 0.0 22.5 1005.5 87 
01/04/2021 00:45:00 HBV 0.0 - 0.0 22.7 1005.5 87 
01/04/2021 00:50:00 HBV 0.0 312 3.2 22.6 1005.5 87 
01/04/2021 00:55:00 HBV 0.0 339 5.6 22.3 1005.3 85 
01/04/2021 01:00:00 HBV 0.0 - 0.0 22.6 1005.4 84 
01/04/2021 01:05:00 HBV 0.0 340 9.2 22.1 1005.2 81 
01/04/2021 01:10:00 HBV 0.0 - 0.0 22.5 1005.3 78 
01/04/2021 01:15:00 HBV 0.0 327 6.7 22.9 1005.0 77 
01/04/2021 01:20:00 HBV 0.2 - 0.0 22.9 1005.0 77 
01/04/2021 01:25:00 HBV 0.2 - 0.0 23.0 1004.8 77 
01/04/2021 01:30:00 HBV 0.2 - 0.0 22.9 1005.0 77 
01/04/2021 01:35:00 HBV 0.0 - 0.0 23.0 1004.8 78 
01/04/2021 01:40:00 HBV 0.0 349 3.9 22.4 1004.7 77 
01/04/2021 01:45:00 HBV 0.0 - 0.0 23.2 1004.7 77 
01/04/2021 01:50:00 HBV 0.0 - 0.0 22.5 1004.7 77 
